invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,invoice_year,invoice_month,invoice_day,day_of_week,is_weekend,unit_price,age_group,quantity_band,price_deviation_from_category
I681299,C897737,Female,43,Cosmetics,4,162.64,Cash,5/19/2022 0:00,Forum Istanbul,2022,5,19,3,0,40.66,36_45,bulk,0
I118023,C970208,Female,31,Clothing,3,900.24,Debit Card,8/19/2021 0:00,Kanyon,2021,8,19,3,0,300.08,26_35,small,0
I114985,C234405,Female,20,Shoes,5,3000.85,Debit Card,5/15/2021 0:00,Istinye Park,2021,5,15,5,1,600.17,18_25,bulk,0
I176898,C521836,Male,44,Clothing,1,300.08,Credit Card,10/4/2021 0:00,Emaar Square Mall,2021,10,4,0,0,300.08,36_45,single,0
I167849,C339233,Female,61,Toys,3,107.52,Cash,2/21/2021 0:00,Metrocity,2021,2,21,6,1,35.84,56_plus,small,-7.11E-15
I911180,C173695,Male,48,Clothing,5,1500.4,Cash,12/2/2022 0:00,Mall of Istanbul,2022,12,2,4,0,300.08000000000004,46_55,bulk,5.684341886080804e-14
I381001,C256682,Female,51,Clothing,2,600.16,Credit Card,7/12/2022 0:00,Kanyon,2022,7,12,1,0,300.08,46_55,small,0
I179709,C224754,Male,59,Clothing,4,1200.32,Debit Card,12/4/2021 0:00,Zorlu Center,2021,12,4,5,1,300.08,56_plus,bulk,0
I102303,C165489,Male,30,Food & Beverage,4,20.92,Credit Card,7/13/2022 0:00,Mall of Istanbul,2022,7,13,2,0,5.23,26_35,bulk,0
I187305,C150584,Female,32,Shoes,3,1800.51,Debit Card,3/12/2022 0:00,Kanyon,2022,3,12,5,1,600.17,26_35,small,0
I134776,C251932,Female,56,Food & Beverage,2,10.46,Cash,1/31/2022 0:00,Metrocity,2022,1,31,0,0,5.23,56_plus,small,0
I813197,C187487,Female,51,Shoes,5,3000.85,Credit Card,3/25/2022 0:00,Forum Istanbul,2022,3,25,4,0,600.17,46_55,bulk,0
I332807,C217409,Female,48,Clothing,3,900.24,Credit Card,9/7/2022 0:00,Viaport Outlet,2022,9,7,2,0,300.08,46_55,small,0
I204908,C142352,Female,59,Cosmetics,1,40.66,Cash,1/4/2022 0:00,Kanyon,2022,1,4,1,0,40.66,56_plus,single,0
I276989,C253346,Female,39,Technology,2,2100,Debit Card,3/5/2021 0:00,Metropol AVM,2021,3,5,4,0,1050,36_45,small,0
I994420,C969998,Male,66,Books,5,75.75,Cash,5/18/2021 0:00,Kanyon,2021,5,18,1,0,15.15,56_plus,bulk,0
I136604,C152831,Male,51,Souvenir,2,23.46,Debit Card,5/29/2021 0:00,Mall of Istanbul,2021,5,29,5,1,11.73,46_55,small,0
I164946,C330256,Female,64,Clothing,3,900.24,Cash,8/11/2022 0:00,Mall of Istanbul,2022,8,11,3,0,300.08,56_plus,small,0
I309401,C117655,Female,69,Food & Beverage,1,5.23,Cash,6/20/2021 0:00,Kanyon,2021,6,20,6,1,5.23,56_plus,single,0
I786198,C627236,Female,19,Cosmetics,3,121.98,Credit Card,1/29/2023 0:00,Mall of Istanbul,2023,1,29,6,1,40.66,18_25,small,7.105427357601002e-15
I178089,C109929,Female,45,Clothing,3,900.24,Credit Card,4/18/2022 0:00,Viaport Outlet,2022,4,18,0,0,300.08,36_45,small,0
I669927,C587419,Female,68,Toys,2,71.68,Credit Card,1/30/2021 0:00,Mall of Istanbul,2021,1,30,5,1,35.84,56_plus,small,0
I301032,C444321,Female,25,Clothing,4,1200.32,Credit Card,7/5/2022 0:00,Mall of Istanbul,2022,7,5,1,0,300.08,18_25,bulk,0
I334239,C280799,Female,25,Clothing,3,900.24,Debit Card,12/6/2022 0:00,Metropol AVM,2022,12,6,1,0,300.08,18_25,small,0
I183898,C286293,Female,35,Cosmetics,4,162.64,Credit Card,4/22/2021 0:00,Kanyon,2021,4,22,3,0,40.66,26_35,bulk,0
I914645,C220945,Male,52,Toys,2,71.68,Debit Card,6/10/2021 0:00,Mall of Istanbul,2021,6,10,3,0,35.84,46_55,small,0
I137497,C977007,Female,19,Food & Beverage,2,10.46,Cash,3/7/2022 0:00,Cevahir AVM,2022,3,7,0,0,5.23,18_25,small,0
I221229,C713766,Male,22,Technology,3,3150,Credit Card,11/3/2021 0:00,Cevahir AVM,2021,11,3,2,0,1050,18_25,small,0
I325195,C176994,Male,69,Clothing,5,1500.4,Cash,5/23/2022 0:00,Metrocity,2022,5,23,0,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I336209,C274656,Male,50,Cosmetics,4,162.64,Credit Card,6/6/2022 0:00,Zorlu Center,2022,6,6,0,0,40.66,46_55,bulk,0
I215753,C327018,Male,68,Souvenir,2,23.46,Credit Card,3/6/2021 0:00,Metropol AVM,2021,3,6,5,1,11.73,56_plus,small,0
I851352,C144041,Male,68,Toys,1,35.84,Credit Card,8/22/2021 0:00,Metropol AVM,2021,8,22,6,1,35.84,56_plus,single,0
I660114,C492397,Male,49,Clothing,1,300.08,Credit Card,9/29/2021 0:00,Metrocity,2021,9,29,2,0,300.08,46_55,single,0
I221802,C278178,Female,33,Cosmetics,3,121.98,Credit Card,11/7/2022 0:00,Istinye Park,2022,11,7,0,0,40.66,26_35,small,7.105427357601002e-15
I904046,C245185,Male,35,Food & Beverage,3,15.69,Cash,8/3/2021 0:00,Zorlu Center,2021,8,3,1,0,5.23,26_35,small,-8.88E-16
I956324,C687556,Female,28,Food & Beverage,5,26.15,Credit Card,2/21/2022 0:00,Emaar Square Mall,2022,2,21,0,0,5.23,26_35,bulk,-8.88E-16
I129577,C793761,Male,24,Food & Beverage,2,10.46,Credit Card,2/24/2022 0:00,Metrocity,2022,2,24,3,0,5.23,18_25,small,0
I111828,C304071,Female,35,Shoes,2,1200.34,Credit Card,6/30/2022 0:00,Cevahir AVM,2022,6,30,3,0,600.17,26_35,small,0
I331507,C223307,Male,30,Shoes,1,600.17,Debit Card,3/14/2022 0:00,Mall of Istanbul,2022,3,14,0,0,600.17,26_35,single,0
I291672,C138461,Female,53,Technology,2,2100,Credit Card,2/11/2021 0:00,Kanyon,2021,2,11,3,0,1050,46_55,small,0
I106391,C574426,Female,52,Clothing,3,900.24,Debit Card,2/24/2023 0:00,Metrocity,2023,2,24,4,0,300.08,46_55,small,0
I289833,C281808,Male,50,Food & Beverage,5,26.15,Credit Card,8/2/2022 0:00,Mall of Istanbul,2022,8,2,1,0,5.23,46_55,bulk,-8.88E-16
I215037,C187538,Female,66,Cosmetics,2,81.32,Cash,1/7/2021 0:00,Kanyon,2021,1,7,3,0,40.66,56_plus,small,0
I325701,C320868,Female,65,Cosmetics,3,121.98,Cash,7/1/2022 0:00,Kanyon,2022,7,1,4,0,40.66,56_plus,small,7.105427357601002e-15
I172178,C216343,Female,29,Technology,4,4200,Cash,10/5/2021 0:00,Viaport Outlet,2021,10,5,1,0,1050,26_35,bulk,0
I373845,C174656,Female,62,Shoes,2,1200.34,Cash,5/12/2022 0:00,Mall of Istanbul,2022,5,12,3,0,600.17,56_plus,small,0
I327845,C585613,Female,37,Food & Beverage,4,20.92,Cash,12/15/2022 0:00,Metrocity,2022,12,15,3,0,5.23,36_45,bulk,0
I189916,C427595,Male,52,Food & Beverage,2,10.46,Credit Card,11/19/2021 0:00,Mall of Istanbul,2021,11,19,4,0,5.23,46_55,small,0
I113537,C351966,Male,21,Food & Beverage,2,10.46,Cash,6/13/2022 0:00,Forum Istanbul,2022,6,13,0,0,5.23,18_25,small,0
I135508,C197239,Male,58,Clothing,4,1200.32,Cash,6/17/2022 0:00,Emaar Square Mall,2022,6,17,4,0,300.08,56_plus,bulk,0
I306860,C291054,Female,24,Food & Beverage,1,5.23,Cash,4/9/2022 0:00,Forum Istanbul,2022,4,9,5,1,5.23,18_25,single,0
I296476,C673107,Male,21,Clothing,2,600.16,Credit Card,10/24/2022 0:00,Mall of Istanbul,2022,10,24,0,0,300.08,18_25,small,0
I275202,C455031,Male,48,Souvenir,2,23.46,Credit Card,10/19/2021 0:00,Kanyon,2021,10,19,1,0,11.73,46_55,small,0
I270827,C886775,Female,69,Books,5,75.75,Cash,7/20/2022 0:00,Mall of Istanbul,2022,7,20,2,0,15.15,56_plus,bulk,0
I319558,C759432,Female,28,Cosmetics,2,81.32,Debit Card,8/4/2021 0:00,Kanyon,2021,8,4,2,0,40.66,26_35,small,0
I248454,C553256,Male,63,Clothing,3,900.24,Credit Card,8/3/2022 0:00,Mall of Istanbul,2022,8,3,2,0,300.08,56_plus,small,0
I576872,C135788,Male,42,Toys,5,179.2,Credit Card,8/1/2022 0:00,Mall of Istanbul,2022,8,1,0,0,35.84,36_45,bulk,-7.11E-15
I279747,C155762,Male,65,Clothing,5,1500.4,Cash,8/9/2021 0:00,Kanyon,2021,8,9,0,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I664296,C179765,Female,48,Clothing,5,1500.4,Cash,3/7/2023 0:00,Metrocity,2023,3,7,1,0,300.08000000000004,46_55,bulk,5.684341886080804e-14
I198814,C697809,Female,43,Books,4,60.6,Cash,2/19/2021 0:00,Mall of Istanbul,2021,2,19,4,0,15.15,36_45,bulk,0
I146454,C548880,Male,46,Clothing,5,1500.4,Cash,8/19/2022 0:00,Kanyon,2022,8,19,4,0,300.08000000000004,46_55,bulk,5.684341886080804e-14
I333638,C427813,Male,53,Clothing,4,1200.32,Cash,6/19/2021 0:00,Kanyon,2021,6,19,5,1,300.08,46_55,bulk,0
I217205,C707012,Female,35,Books,5,75.75,Debit Card,3/26/2022 0:00,Metrocity,2022,3,26,5,1,15.15,26_35,bulk,0
I803516,C228871,Female,32,Clothing,1,300.08,bit Card,9/13/2021 0:00,Mall of Istanbul,2021,9,13,0,0,300.08,26_35,single,0
I310241,C847095,Female,23,Clothing,5,1500.4,Credit Card,6/26/2021 0:00,Viaport Outlet,2021,6,26,5,1,300.08000000000004,18_25,bulk,5.684341886080804e-14
I279901,C139612,Male,37,Food & Beverage,5,26.15,Cash,4/3/2021 0:00,Kanyon,2021,4,3,5,1,5.23,36_45,bulk,-8.88E-16
I248898,C264545,Male,38,Clothing,5,1500.4,Credit Card,11/19/2021 0:00,Kanyon,2021,11,19,4,0,300.08000000000004,36_45,bulk,5.684341886080804e-14
I142824,C463049,Female,24,Toys,4,143.36,Cash,4/20/2021 0:00,Metrocity,2021,4,20,1,0,35.84,18_25,bulk,0
I339692,C747632,Female,66,Clothing,2,600.16,Debit Card,4/5/2021 0:00,Istinye Park,2021,4,5,0,0,300.08,56_plus,small,0
I181218,C261649,Male,18,Books,3,45.45,Cash,1/22/2023 0:00,Metrocity,2023,1,22,6,1,15.15,18_25,small,0
I115044,C273965,Female,34,Clothing,2,600.16,Cash,11/2/2021 0:00,Mall of Istanbul,2021,11,2,1,0,300.08,26_35,small,0
I305655,C292474,Male,31,Clothing,2,600.16,Cash,2/22/2022 0:00,Mall of Istanbul,2022,2,22,1,0,300.08,26_35,small,0
I806900,C268712,Male,25,Clothing,2,600.16,Cash,5/20/2021 0:00,Zorlu Center,2021,5,20,3,0,300.08,18_25,small,0
I147491,C466865,Female,64,Cosmetics,4,162.64,Cash,3/8/2022 0:00,Metrocity,2022,3,8,1,0,40.66,56_plus,bulk,0
I268068,C105834,Female,43,Food & Beverage,1,5.23,Cash,11/29/2021 0:00,Metrocity,2021,11,29,0,0,5.23,36_45,single,0
I126941,C742428,Male,54,Shoes,1,600.17,Credit Card,6/27/2021 0:00,Metrocity,2021,6,27,6,1,600.17,46_55,single,0
I152254,C226780,Male,52,Toys,3,107.52,Cash,1/20/2022 0:00,Emaar Square Mall,2022,1,20,3,0,35.84,46_55,small,-7.11E-15
I204066,C231888,Female,67,Toys,3,107.52,Credit Card,2/13/2021 0:00,Kanyon,2021,2,13,5,1,35.84,56_plus,small,-7.11E-15
I613617,C927638,Female,51,Food & Beverage,2,10.46,Cash,9/4/2022 0:00,Istinye Park,2022,9,4,6,1,5.23,46_55,small,0
I880550,C199103,Male,33,Clothing,5,1500.4,Cash,7/6/2021 0:00,Kanyon,2021,7,6,1,0,300.08000000000004,26_35,bulk,5.684341886080804e-14
I227487,C303649,Female,51,Shoes,5,3000.85,Credit Card,6/9/2022 0:00,Istinye Park,2022,6,9,3,0,600.17,46_55,bulk,0
I141468,C220259,Female,27,Toys,4,143.36,Debit Card,2/5/2023 0:00,Kanyon,2023,2,5,6,1,35.84,26_35,bulk,0
I212358,C747847,Male,61,Souvenir,4,46.92,Cash,8/25/2021 0:00,Mall of Istanbul,2021,8,25,2,0,11.73,56_plus,bulk,0
I240302,C242289,Male,54,Food & Beverage,2,10.46,Cash,12/28/2021 0:00,Zorlu Center,2021,12,28,1,0,5.23,46_55,small,0
I165242,C226002,Female,66,Clothing,4,1200.32,Cash,9/6/2021 0:00,Kanyon,2021,9,6,0,0,300.08,56_plus,bulk,0
I124924,C908102,Male,19,Clothing,1,300.08,Cash,5/14/2022 0:00,Kanyon,2022,5,14,5,1,300.08,18_25,single,0
I253620,C950430,Male,64,Books,2,30.3,Cash,1/4/2022 0:00,Viaport Outlet,2022,1,4,1,0,15.15,56_plus,small,0
I949413,C218501,Female,67,Food & Beverage,3,15.69,Credit Card,12/6/2022 0:00,Kanyon,2022,12,6,1,0,5.23,56_plus,small,-8.88E-16
I311072,C253441,Male,59,Food & Beverage,2,10.46,Cash,12/16/2021 0:00,Istinye Park,2021,12,16,3,0,5.23,56_plus,small,0
I343895,C199417,Male,41,Clothing,5,1500.4,Cash,12/22/2022 0:00,Forum Istanbul,2022,12,22,3,0,300.08000000000004,36_45,bulk,5.684341886080804e-14
I323249,C334262,Female,63,Shoes,4,2400.68,Debit Card,1/15/2023 0:00,Zorlu Center,2023,1,15,6,1,600.17,56_plus,bulk,0
I149090,C145793,Female,68,Cosmetics,1,40.66,Cash,4/2/2021 0:00,Metrocity,2021,4,2,4,0,40.66,56_plus,single,0
I252800,C857068,Female,43,Books,3,45.45,Credit Card,3/11/2022 0:00,Metrocity,2022,3,11,4,0,15.15,36_45,small,0
I336809,C852598,fe,27,Cosmetics,4,162.64,Cash,11/12/2021 0:00,Metrocity,2021,11,12,4,0,40.66,26_35,bulk,0
I337472,C171520,male,60,Clothing,3,900.24,Cash,2/3/2023 0:00,Metropol AVM,2023,2,3,4,0,300.08,56_plus,small,0
I147906,C850315,Female,59,Cosmetics,3,121.98,Cash,1/14/2022 0:00,Mall of Istanbul,2022,1,14,4,0,40.66,56_plus,small,7.105427357601002e-15
I293722,C243298,Male,30,Books,3,45.45,Debit Card,6/30/2022 0:00,Mall of Istanbul,2022,6,30,3,0,15.15,26_35,small,0
I897564,C186399,Male,62,Shoes,2,1200.34,Credit Card,5/15/2022 0:00,Emaar Square Mall,2022,5,15,6,1,600.17,56_plus,small,0
I265207,C151236,Male,40,Clothing,1,300.08,Cash,3/4/2021 0:00,Forum Istanbul,2021,3,4,3,0,300.08,36_45,single,0
I199848,C177209,Female,54,Clothing,5,1500.4,Credit Card,1/2/2023 0:00,Istinye Park,2023,1,2,0,0,300.08000000000004,46_55,bulk,5.684341886080804e-14
I172000,C211896,Female,19,Clothing,5,1500.4,Cash,6/18/2021 0:00,Metropol AVM,2021,6,18,4,0,300.08000000000004,18_25,bulk,5.684341886080804e-14
I104376,C274370,Female,46,Clothing,3,900.24,Credit Card,5/18/2021 0:00,Zorlu Center,2021,5,18,1,0,300.08,46_55,small,0
I113122,C165727,Female,44,Clothing,5,1500.4,Cash,4/12/2022 0:00,Mall of Istanbul,2022,4,12,1,0,300.08000000000004,36_45,bulk,5.684341886080804e-14
I286645,C787235,Male,43,Food & Beverage,5,26.15,Credit Card,3/29/2021 0:00,Istinye Park,2021,3,29,0,0,5.23,36_45,bulk,-8.88E-16
I244318,C200656,Male,41,Toys,1,35.84,Debit Card,11/5/2021 0:00,Forum Istanbul,2021,11,5,4,0,35.84,36_45,single,0
I116395,C131906,Female,59,Clothing,5,1500.4,Credit Card,7/12/2021 0:00,Zorlu Center,2021,7,12,0,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I206365,C227243,Male,47,Clothing,5,1500.4,Credit Card,1/21/2022 0:00,Istinye Park,2022,1,21,4,0,300.08000000000004,46_55,bulk,5.684341886080804e-14
I105603,C147305,Male,38,Toys,1,35.84,Cash,6/19/2021 0:00,Metrocity,2021,6,19,5,1,35.84,36_45,single,0
I135177,C128154,Female,43,Cosmetics,5,203.3,Credit Card,5/7/2021 0:00,Metrocity,2021,5,7,4,0,40.66,36_45,bulk,7.105427357601002e-15
I369064,C227466,Male,57,Clothing,1,300.08,Debit Card,12/14/2022 0:00,Metropol AVM,2022,12,14,2,0,300.08,56_plus,single,0
I130952,C175277,Male,20,Food & Beverage,3,15.69,Cash,5/3/2021 0:00,Kanyon,2021,5,3,0,0,5.23,18_25,small,-8.88E-16
I138399,C276769,Female,38,Souvenir,4,46.92,Cash,2/19/2023 0:00,Mall of Istanbul,2023,2,19,6,1,11.73,36_45,bulk,0
I806518,C178071,Female,23,Food & Beverage,4,20.92,Debit Card,11/18/2022 0:00,Metropol AVM,2022,11,18,4,0,5.23,18_25,bulk,0
